"code","term","definition","non-imdrf code/term","status","status description","codehierarchy","non-imdrf code","primary category","secondary category"
"G0403001","Helifix Coil","A coil designed to allow a Helifix pacing electrode to be placed in the endocardium.","","","","G04|G04030|G0403001",,,
"G04031","Collimator","A diaphragm or system of diaphragms made of an absorbing material, designed to define and restrict the dimensions and direction of a beam of radiation.","","","","G04|G04031",,,
"G04032","Concentrator","A component designed to increase the weight per unit volume of a substance.","","","","G04|G04032",,,
"G04033","Cone","A three-dimensional part that tapers smoothly from a flat circular shape at one end to a point at the other end.","","","","G04|G04033",,,
"G04034","Connector/Coupler","A component designed to serve as a link between parts allowing easy disconnection and reconnection when necessary.","","","","G04|G04034",,,
"G0403401","Connector Pin","A projecting part of a device that allows it to be secured through an opening.","","","","G04|G04034|G0403401",,,
"G04035","Controller","A component designed to control or regulate the operation of another device.","","","","G04|G04035",,,
"G04036","Compressor","A component that increases the pressure of air or gas.","","","","G04|G04036",,,
"G04037","Cover","An object designed to conceal, enclose, or protect something.","","","","G04|G04037",,,
"G04038","Cuff","A bandlike structure that encircles a body part or another component or device.","","","","G04|G04038",,,
"G04039","Cup","Part or design of a device with a concave hemispherical shape.","","","","G04|G04039",,,
"G04040","Cusp/Leaflet","A thin blade-like component, typically used as part of a one-way valve.","","Modified (editorial)","Minor editorial change to the term on 25 June 2020.","G04|G04040",,,
"G04041","Cutter/Blade","A component designed for slicing or cutting.","","","","G04|G04041",,,
"G04042","Cylinder","A three-dimensional part with flat circular ends and long straight sides.","","","","G04|G04042",,,
"G04043","Device Collapser","A component designed to fold or collapse something.","","","","G04|G04043",,,
"G04044","Device Deployer","A component designed to install something or distribute something in a systematic way.","","","","G04|G04044",,,
"G04045","Diaphragm","A component consisting of a flexible sheet or partition.","","","","G04|G04045",,,
"G04046","Dome","Part or design of a device with a convex hemispherical shape.","","","","G04|G04046",,,
"G04047","Ejector","A mechanism that pushes a device or component out.","","","","G04|G04047",,,
"G04048","Equipment Pole","A structural component designed to hang medical equipment.","","","","G04|G04048",,,
"G04049","Extender","A component designed to lengthen a structure.","","","","G04|G04049",,,
"G04050","Fabric","Cloth produced from textile fibers.","","","","G04|G04050",,,
"G04051","Fan/Blower","A component designed to create an air current through the rotation of a planar surface.","","","","G04|G04051",,,
"G04052","Fastener","A component designed to hold items in place.","","","","G04|G04052",,,
"G0405201","Adhesive","Any substance that affixes 2 or more surfaces together. This may be supplied separately, or attached to another item such as tape.","","","","G04|G04052|G0405201",,,
"G0405202","Bolt","A cylindrical connector element which may have a thread/nut connection to form a fastener.","","Modified (editorial)","Editorial change to the definition on 16 February 2021.","G04|G04052|G0405202",,,
"G0405203","Clamp","A component designed to mechanically hold items firmly together.","","","","G04|G04052|G0405203",,,
"G0405204","Clip","A small component designed to hold and attach items together.","","","","G04|G04052|G0405204",,,
"G0405205","Fixation Wire","A metal strand designed for structural or other purpose.","","","","G04|G04052|G0405205",,,
"G0405206","Latch","A fastening component for a mobile part usually consisting of a bar that is retained in a slot.","","","","G04|G04052|G0405206",,,
"G0405207","Nail","A pin-shaped fastener with a sharp point at one end and usually flat on the other end.","","","","G04|G04052|G0405207",,,
"G0405208","Nut","A threaded fastener designed to engage a bolt.","","","","G04|G04052|G0405208",,,
"G0405209","Pin","A small, slender separate component which is designed to secure another object.","","","","G04|G04052|G0405209",,,
"G0405210","Prong","A projecting pointed part of a device, usually one designed to attach a device to something else.","","","","G04|G04052|G0405210",,,
"G0405211","Retainer","A physical component designed to hold items in place.","","","","G04|G04052|G0405211",,,
"G0405212","Rivet","A fastening component resembling a heavy pin, having a head on one end and designed to have the other end flattened after passing through the parts to be connected.","","","","G04|G04052|G0405212",,,
"G0405213","Screw","A fastening component with a tapered threaded shaft and a head designed to engage with a driving tool.","","","","G04|G04052|G0405213",,,
"G0405214","Staple","A fastening component consisting of a bent wire designed to pierce and hold two or more surfaces together.","","","","G04|G04052|G0405214",,,
"G0405215","Suture Thread","A monofilament or multifilament material used surgically to close a wound, join tissues, or fasten components of a device (e.g. fabric to wire stent frame).","","","","G04|G04052|G0405215",,,
"G0405216","Tape for Fixation","A long, thin, flat, flexible material often used for binding or fastening.","","","","G04|G04052|G0405216",,,
"G04053","Fiber","Any component made from a long, slender material.","","","","G04|G04053",,,
"G04054","Filter","A component designed to remove something from whatever passes through it.","","","","G04|G04054",,,
"G04055","Flange","A protruding edge designed to strengthen or stabilize a device or facilitate its attachment to a surface.","","","","G04|G04055",,,
"G04056","Foil","A thin, flexible sheet of metal.","","","","G04|G04056",,,
"G04057","Gas Exchanger","Component that is used to transfer gasses between two or more locations.","","","","G04|G04057",,,
